plant,target,item_code,n_obs,nonzero_days,coverage,r_raw_train,r_resid_train,abs_r_resid,pass_threshold
광주,연료,260014,499,249,0.49899799599198397,0.6234354393043661,0.6644546105238964,0.6644546105238964,True
광주,연료,260042,499,198,0.3967935871743487,0.4946786778029469,0.5128735431447143,0.5128735431447143,True
광주,용수,260014,499,249,0.49899799599198397,0.47553812345462926,0.5290082696051356,0.5290082696051356,True
광주,용수,260042,499,198,0.3967935871743487,0.4106563611417678,0.4047368436818129,0.4047368436818129,True
광주,전력,260014,499,249,0.49899799599198397,-0.006242764518042342,0.1220567844976893,0.1220567844976893,False
김해,연료,223518,499,202,0.40480961923847697,-0.055548544427379234,-0.2188067374662778,0.2188067374662778,True
김해,연료,223524,499,297,0.5951903807615231,-0.17060236748258523,-0.12712937745905023,0.12712937745905023,False
김해,연료,220051,499,237,0.4749498997995992,0.12895642876581523,0.1058438575555742,0.1058438575555742,False
김해,연료,220022,499,296,0.593186372745491,0.03811697617686748,0.08203257176995901,0.08203257176995901,False
김해,연료,223102,499,252,0.5050100200400801,0.08986576713287615,0.07153426150217361,0.07153426150217361,False
김해,연료,220143,499,408,0.8176352705410822,-0.02226888975242282,-0.04373147047992945,0.04373147047992945,False
김해,연료,220068,499,488,0.9779559118236473,0.05230086160188524,-0.034979656800279646,0.034979656800279646,False
김해,연료,220032,499,498,0.9979959919839679,0.240902898794366,-0.011634510582258391,0.011634510582258391,False
김해,용수,223518,499,202,0.40480961923847697,0.014291828312048949,-0.28122857944869606,0.28122857944869606,True
김해,용수,220022,499,296,0.593186372745491,0.07083696671196281,0.206822687708565,0.206822687708565,True
김해,용수,223102,499,252,0.5050100200400801,0.13474065963245105,0.15443117687932303,0.15443117687932303,False
김해,용수,220068,499,488,0.9779559118236473,0.19718292468978996,0.12938862987425165,0.12938862987425165,False
김해,용수,220051,499,237,0.4749498997995992,0.016674682709005167,-0.12125446124431492,0.12125446124431492,False
김해,용수,220032,499,498,0.9979959919839679,0.39510615090965395,0.04988780505455032,0.04988780505455032,False
김해,용수,223524,499,297,0.5951903807615231,-0.11942934341122347,-0.04797255362343439,0.04797255362343439,False
김해,용수,220143,499,408,0.8176352705410822,-0.04763574953799406,0.035531040635170444,0.035531040635170444,False
