plant,target,item_code,n_obs,nonzero_days,coverage,r_raw_train,r_resid_train,abs_r_resid,pass_threshold
광주,연료,260014,499,249,0.49899799599198397,0.6234354393043661,0.6644546105238964,0.6644546105238964,True
광주,연료,260042,499,198,0.3967935871743487,0.4946786778029469,0.5128735431447143,0.5128735431447143,True
광주,용수,260014,499,249,0.49899799599198397,0.47553812345462926,0.5290082696051356,0.5290082696051356,True
광주,용수,260042,499,198,0.3967935871743487,0.4106563611417678,0.4047368436818129,0.4047368436818129,True
김해,연료,223518,499,202,0.40480961923847697,-0.055548544427379234,-0.2188067374662778,0.2188067374662778,True
김해,용수,223518,499,202,0.40480961923847697,0.014291828312048949,-0.28122857944869606,0.28122857944869606,True
김해,용수,220022,499,296,0.593186372745491,0.07083696671196281,0.206822687708565,0.206822687708565,True
남양주1,연료,213137,499,343,0.687374749498998,-0.2725852823071709,-0.35720034724539285,0.35720034724539285,True
남양주1,용수,210405,499,341,0.6833667334669339,-0.07884837823297677,-0.23661928121215905,0.23661928121215905,True
남양주1,전력,210376,499,339,0.6793587174348698,0.5727047637959864,0.5722772883690853,0.5722772883690853,True
남양주1,전력,210405,499,341,0.6833667334669339,0.5176565512614129,0.5242111815843188,0.5242111815843188,True
남양주1,전력,213137,499,343,0.687374749498998,0.2723620988336657,0.3053361094490572,0.3053361094490572,True
남양주2,연료,210417,499,339,0.6793587174348698,0.33057944511968435,0.23962826095174553,0.23962826095174553,True
남양주2,용수,210376,499,339,0.6793587174348698,0.4861736640456107,0.22474549869406205,0.22474549869406205,True
남양주2,용수,210405,499,341,0.6833667334669339,0.4997725284004976,0.21926491428093078,0.21926491428093078,True
남양주2,전력,210376,499,339,0.6793587174348698,0.7247604951077399,0.4321837871946634,0.4321837871946634,True
남양주2,전력,210405,499,341,0.6833667334669339,0.6843532332434163,0.38061783430783885,0.38061783430783885,True
남양주2,전력,210198,499,241,0.48296593186372744,0.3444730546833988,0.24754436404021496,0.24754436404021496,True
논산,연료,210577,499,325,0.6513026052104208,0.4643626906618607,0.352084230970763,0.352084230970763,True
논산,연료,210405,499,176,0.3527054108216433,0.35642139776012316,0.21269010602220775,0.21269010602220775,True
논산,용수,210376,499,216,0.43286573146292584,0.4034945123729696,0.2437393080103861,0.2437393080103861,True
논산,전력,210376,499,216,0.43286573146292584,0.4880520652618913,0.30808485940599134,0.30808485940599134,True
논산,전력,210577,499,325,0.6513026052104208,0.2976992782574472,0.20231866631400924,0.20231866631400924,True
