iter	Quantile:alpha=0.95
0	0.01754926652
1	0.01728720088
2	0.0170571165
3	0.01680862741
4	0.01663391465
5	0.01644675032
6	0.01624675381
7	0.01606936421
8	0.01592595866
9	0.01576296524
10	0.01565674238
11	0.01554784486
12	0.01542810477
13	0.01533283331
14	0.01520915364
15	0.01514492428
16	0.01505648395
17	0.01494960704
18	0.01484737106
19	0.01472760204
20	0.01467298042
21	0.01460972045
22	0.01451536322
23	0.01445732779
24	0.01433813458
25	0.0142927342
26	0.01422580174
27	0.01412708002
28	0.01404667815
29	0.0139722549
30	0.01390388679
31	0.01382446417
32	0.01372478173
33	0.01365417855
34	0.01354987292
35	0.01350999798
36	0.01345056029
37	0.01340097649
38	0.01333780123
39	0.01331362561
40	0.0131901404
41	0.01315673108
42	0.01313651259
43	0.01310951842
44	0.01299704422
45	0.01297695513
46	0.01291163776
47	0.01284152507
48	0.01280040726
49	0.01275952184
50	0.01269046592
51	0.01268215165
52	0.01264772311
53	0.01259428492
54	0.01245177826
55	0.01240594995
56	0.01239090373
57	0.01237778779
58	0.01235884556
59	0.01235404686
60	0.01233832592
61	0.01229171192
62	0.0122486383
63	0.01220240531
64	0.01217677286
65	0.01214361208
66	0.0120531695
67	0.01203849619
68	0.01196900114
69	0.01193883426
70	0.01189546824
71	0.01188459076
72	0.01176644956
73	0.01175581261
74	0.01172643749
75	0.01169829235
76	0.01166390174
77	0.01164072386
78	0.01161312716
79	0.01157077656
80	0.01155185958
81	0.01152470618
82	0.0115050291
83	0.01148124975
84	0.01140884257
85	0.01139727429
86	0.01138199973
87	0.0113569679
88	0.01130092662
89	0.01127540629
90	0.01116331294
91	0.01114216086
92	0.01109641769
93	0.0110764077
94	0.01104028937
95	0.0110330111
96	0.01098960821
97	0.01093272614
98	0.01091739509
99	0.01084555566
100	0.01082912024
101	0.01081337142
102	0.01081030626
103	0.0107537303
104	0.01073140035
105	0.01071079486
106	0.01066384215
107	0.01064639374
108	0.01061856371
109	0.01057006958
110	0.01054568517
111	0.01053384823
112	0.01053183352
113	0.01050476527
114	0.01048877809
115	0.01044862445
116	0.01042921486
117	0.010383276
118	0.01037226761
119	0.01036955479
120	0.01036037941
121	0.01034605642
122	0.01033143138
123	0.01031575932
124	0.01031387344
125	0.01031119715
126	0.01030382376
127	0.01029624614
128	0.01029161745
129	0.01028758914
130	0.01027575655
131	0.01027201873
132	0.01024960918
133	0.01023504007
134	0.01022621657
135	0.01022318472
136	0.01020982718
137	0.01019764209
138	0.01016557174
139	0.01016253591
140	0.01015871163
141	0.01015604181
142	0.01015082484
143	0.01013491709
144	0.01012051783
145	0.01008807101
146	0.01007919615
147	0.01007178579
148	0.01005887295
149	0.01005611295
150	0.01004357656
151	0.01003139932
152	0.01002742862
153	0.01001586993
154	0.01001385408
155	0.01000905245
156	0.01000228532
157	0.009993897713
158	0.009988338283
159	0.009980604892
160	0.009971560094
161	0.009968521663
162	0.009967424588
163	0.009966433694
164	0.009961847827
165	0.009954638514
166	0.00994815113
167	0.009946209822
168	0.009939286946
169	0.009935339944
170	0.009922129433
171	0.009901210281
172	0.009873855803
173	0.009871672428
174	0.009870983021
175	0.009867004949
176	0.009848869862
177	0.009837750574
178	0.009822807831
179	0.009807342327
180	0.009793522662
181	0.009790658587
182	0.009787347877
183	0.009773660343
184	0.009767513602
185	0.009761336605
186	0.009757368024
187	0.009750020484
188	0.00974334503
189	0.009742766638
190	0.009741169031
191	0.009730643359
192	0.009716195031
193	0.009711742293
194	0.009710971303
195	0.009708103339
196	0.009700282835
197	0.009697735692
198	0.00969584756
199	0.009695115821
200	0.009690676527
201	0.009685552647
202	0.009683930629
203	0.009680399763
204	0.009675714321
205	0.009671585923
206	0.009669993162
207	0.009665349568
208	0.009657479842
209	0.009651620381
210	0.00964634794
211	0.009641522347
212	0.009635798962
213	0.009631730444
214	0.009629597439
215	0.009627521421
216	0.009621986031
217	0.009612276381
218	0.009608573768
219	0.009601324644
220	0.009596840936
221	0.009590165815
222	0.009588169587
223	0.009581126772
224	0.009575402748
225	0.009571170583
226	0.009567698125
227	0.009559355928
228	0.009557295142
229	0.009554444434
230	0.009551398651
231	0.009543773425
232	0.009541323617
233	0.009536233412
234	0.009532870024
235	0.009526058022
236	0.009521527251
237	0.009516281492
238	0.009512087563
239	0.009509643206
240	0.009506387849
241	0.009500977237
242	0.009499836132
243	0.009491156985
244	0.009489370788
245	0.009488058547
246	0.009486465727
247	0.00948520194
248	0.009481090277
249	0.009480597867
250	0.009479404866
251	0.009476868929
252	0.009470583021
253	0.009467985689
254	0.009465360167
255	0.009456621012
256	0.009454683981
257	0.009452011299
258	0.009448457271
259	0.009447903603
260	0.009445937779
261	0.009443598432
262	0.009443367159
263	0.009442296782
264	0.00944073866
265	0.009439652571
266	0.00943826677
267	0.009437598582
268	0.009436097332
269	0.009430202858
270	0.009427567533
271	0.009426546488
272	0.009424817855
273	0.009424250246
274	0.009418656931
275	0.00941612105
276	0.009415097008
277	0.009413750973
278	0.009412760023
279	0.009410641408
280	0.009407102199
281	0.009406755201
282	0.009398412018
283	0.009397661254
284	0.009392244085
285	0.00938259831
286	0.009376516225
287	0.009376322439
288	0.009373904532
289	0.009371621412
290	0.009363629651
291	0.00935657099
292	0.009352800635
293	0.00935093129
294	0.009345210489
295	0.009342011379
296	0.00932290595
297	0.009316429578
298	0.009314456061
299	0.009290323668
300	0.009289015079
301	0.009280945623
302	0.009278092831
303	0.009276940967
304	0.009275128895
305	0.009270454797
306	0.009269809064
307	0.009262369104
308	0.00926135991
309	0.009256281089
310	0.009250722448
311	0.009242532124
312	0.009241470835
313	0.009239544789
314	0.009239409552
315	0.009235167063
316	0.009229809567
317	0.009229164752
318	0.009225333555
319	0.009218201459
320	0.00921758061
321	0.00921673416
322	0.009216068231
323	0.009211959038
324	0.009209310634
325	0.009208495852
326	0.009208241533
327	0.009205919281
328	0.009204023632
329	0.009202985889
330	0.009199247379
331	0.009197143489
332	0.009195814009
333	0.009194886838
334	0.009193581083
335	0.009193250109
336	0.009188910044
337	0.009187729426
338	0.009185430242
339	0.009181660314
340	0.00918094528
341	0.009180447535
342	0.009180226691
343	0.009178506048
344	0.009176191145
345	0.009175413839
346	0.00917501694
347	0.009174294785
348	0.00917070794
349	0.009170510469
350	0.009169108209
351	0.009168854495
352	0.009164997785
353	0.009161582802
354	0.009161373637
355	0.009159992297
356	0.009159755197
357	0.009159200118
358	0.009156406457
359	0.009151092405
360	0.009148422967
361	0.009145498604
362	0.009139813486
363	0.009139280991
364	0.009139121045
365	0.009137054985
366	0.009134519731
367	0.009134128548
368	0.009129203201
369	0.009124023633
370	0.009123307173
371	0.009094816884
372	0.00908917811
373	0.009088709611
374	0.009084541321
375	0.009080761652
376	0.009078292564
377	0.009075193686
378	0.009072036439
379	0.009071726845
380	0.009070670091
381	0.009067561562
382	0.009066320714
383	0.009058621434
384	0.009058231812
385	0.009056142167
386	0.009053542049
387	0.009053317343
388	0.009050303115
389	0.009048928938
390	0.009046016492
391	0.009045088246
392	0.009042799953
393	0.009042385228
394	0.009040106643
395	0.009039528271
396	0.009036760888
397	0.009034890179
398	0.00900490758
399	0.009003967021
400	0.009002222308
401	0.009000571053
402	0.008999210017
403	0.008997974986
404	0.008996818692
405	0.00899249406
