factory,target,unit,rank,item_code,intensity_per_kg,total_kg,nonzero_days,alpha,item_name,category1,category2
김해,연료,Nm³,10,112742,0.024426097070360527,413739.0,65,39.14177232530798,E참붕어싸만코 초코(24)_베트남,냉동,IC
김해,용수,ton,1,122946,0.01862454856098204,2750509.0,530,14.305335302870695,바나나맛우유240(지)I,냉장,MY
김해,용수,ton,2,122920,0.015744614375247795,1111026.0,236,14.305335302870695,E메론맛우유멀티240(32)_중국U,냉장,MY
김해,용수,ton,3,112721,0.011061155129743882,759749.0,90,14.305335302870695,떡붕어싸만코 멀티(20)B,냉동,IC
김해,용수,ton,4,112741,0.009323514533311266,257691.0,35,14.305335302870695,E참붕어싸만코 딸기(24)_베트남,냉동,IC
김해,용수,ton,5,112742,0.008657381306450005,413739.0,65,14.305335302870695,E참붕어싸만코 초코(24)_베트남,냉동,IC
김해,용수,ton,6,110389,0.008579112915767842,729946.0,83,14.305335302870695,E참붕어 초코멀티(24),냉동,IC
김해,용수,ton,7,112782,0.008167333213208705,497223.0,82,14.305335302870695,E참붕어 초코 북미용(24),냉동,IC
김해,용수,ton,8,111573,0.008037596402151757,503545.0,41,14.305335302870695,E메로나 메론4입(64)_공통A,냉동,IC
김해,용수,ton,9,112822,0.007398376053699007,3359746.0,231,14.305335302870695,투게더 바닐라(6) I,냉동,IC
김해,용수,ton,10,112812,0.007200438701572878,569912.0,37,14.305335302870695,E메로나 망고8입(64)_호주유럽(P),냉동,IC
광주,전력,kWh,1,123014,-0.949204686630868,52322.0,160,180.38328834418718,요플레 클래식85(32)I,냉장,FM
광주,전력,kWh,2,123069,0.7528680194604567,76036.0,61,180.38328834418718,닥터캡슐 위프로젝트130(32),냉장,FM
광주,전력,kWh,3,123070,0.7020687997801899,58979.0,60,180.38328834418718,닥터캡슐 당프로젝트130(32),냉장,FM
광주,전력,kWh,4,122655,0.5828900405731923,111815.0,139,180.38328834418718,짜먹는요거바 딸기40(12)V,냉장,FM
광주,전력,kWh,5,123017,0.5247796757981594,484920.0,193,180.38328834418718,요플레 그릭 플레인 멀티80(32)I,냉장,FM
광주,전력,kWh,6,122993,0.5188144097144456,2554683.0,474,180.38328834418718,요플레 10입멀티85(40)I,냉장,FM
광주,전력,kWh,7,122999,0.4993681369219378,260853.0,164,180.38328834418718,요플레 블루베리85(50)_기내식I,냉장,FM
광주,전력,kWh,8,122994,0.4939457125695988,676984.0,472,180.38328834418718,요플레 혼합85(32)I,냉장,FM
광주,전력,kWh,9,130295,0.49197393217545704,122074.0,82,180.38328834418718,꽃게랑143(8),상온,SN
광주,전력,kWh,10,122992,0.48650612359895384,4434522.0,561,180.38328834418718,요플레 8입멀티85(32)I,냉장,FM
광주,연료,Nm³,1,123070,0.40626872190822855,58979.0,60,24.89554974426743,닥터캡슐 당프로젝트130(32),냉장,FM
광주,연료,Nm³,2,123089,0.29649596302042736,74399.0,83,24.89554974426743,요플레 플레인85(50)_기내식I,냉장,FM
광주,연료,Nm³,3,123079,0.276050224153689,75028.0,40,24.89554974426743,요플레 제로 플립 초코링 120(12),냉장,FM
광주,연료,Nm³,4,123024,0.25410062040113396,230529.0,142,24.89554974426743,닥터캡슐1000 베리믹스4입130(32)I,냉장,FM
광주,연료,Nm³,5,130334,-0.20308119530762375,44841.0,31,24.89554974426743,꽃게랑WASABI 143(8),상온,SN
광주,연료,Nm³,6,123107,-0.17351726478284246,14828.0,33,24.89554974426743,닥터캡슐1000 복숭아4입130(32),냉장,FM
광주,연료,Nm³,7,123123,0.1688177268153043,237766.0,102,24.89554974426743,짜먹는키즈 딸기40(18)I,냉장,FM
광주,연료,Nm³,8,123124,0.161063196416894,125905.0,70,24.89554974426743,짜먹는키즈 포도40(18)I,냉장,FM
광주,연료,Nm³,9,122982,0.15679242942970306,106396.0,93,24.89554974426743,요플레 딸기8입85(32)I,냉장,FM
광주,연료,Nm³,10,123014,0.1443008245941398,52322.0,160,24.89554974426743,요플레 클래식85(32)I,냉장,FM
광주,용수,ton,1,123014,-0.09635300015604836,52322.0,160,2.503001593748158,요플레 클래식85(32)I,냉장,FM
광주,용수,ton,2,123070,0.056612565084326834,58979.0,60,2.503001593748158,닥터캡슐 당프로젝트130(32),냉장,FM
광주,용수,ton,3,123079,0.029383306559478482,75028.0,40,2.503001593748158,요플레 제로 플립 초코링 120(12),냉장,FM
광주,용수,ton,4,130334,-0.0252100941564021,44841.0,31,2.503001593748158,꽃게랑WASABI 143(8),상온,SN
광주,용수,ton,5,123089,0.02493950166005647,74399.0,83,2.503001593748158,요플레 플레인85(50)_기내식I,냉장,FM
광주,용수,ton,6,123069,0.02346455087062943,76036.0,61,2.503001593748158,닥터캡슐 위프로젝트130(32),냉장,FM
광주,용수,ton,7,122997,0.020744544856958258,34593.0,59,2.503001593748158,요플레 딸기85(50)_기내식I,냉장,FM
광주,용수,ton,8,123107,-0.020117945951333406,14828.0,33,2.503001593748158,닥터캡슐1000 복숭아4입130(32),냉장,FM
광주,용수,ton,9,122975,-0.01964028233382711,133251.0,70,2.503001593748158,요플레 토핑 크런치초코120(12)I,냉장,FM
광주,용수,ton,10,123124,0.018929091686732794,125905.0,70,2.503001593748158,짜먹는키즈 포도40(18)I,냉장,FM
논산,전력,kWh,1,112826,0.4459187260192825,4178776.0,513,396.63038443546844,엑설런트 오리지널(8) I,냉동,IC
논산,전력,kWh,2,112715,0.34233246666894906,6522633.0,445,396.63038443546844,떡붕어싸만코(30)B,냉동,IC
논산,전력,kWh,3,112748,0.299768210300666,5188536.0,253,396.63038443546844,비비빅(40) G,냉동,IC
논산,전력,kWh,4,112752,0.29624487530967525,1405814.0,87,396.63038443546844,요맘때바 플레인(40) G,냉동,IC
논산,전력,kWh,5,112756,0.27051568335369053,1737805.0,123,396.63038443546844,생귤탱귤 감귤(40) G,냉동,IC
논산,전력,kWh,6,112747,0.26295506350463355,4154299.0,211,396.63038443546844,메로나(40) G,냉동,IC
논산,전력,kWh,7,112754,0.2574836942459779,1655590.0,145,396.63038443546844,까페오레(40) G,냉동,IC
논산,전력,kWh,8,112755,0.2558404501164167,3214215.0,182,396.63038443546844,캔디바(40) G,냉동,IC
논산,전력,kWh,9,112904,0.24974230590129345,1374925.0,81,396.63038443546844,요맘때바 블루베리(40) G,냉동,IC
논산,전력,kWh,10,112745,0.24238752392719776,250188.0,41,396.63038443546844,엑설런트 콘 오리지널(15)A,냉동,IC
논산,연료,Nm³,1,122946,0.056573271422452935,955682.0,589,14.446758758864831,바나나맛우유240(지)I,냉장,MY
논산,연료,Nm³,2,121204,0.023296474866550898,3365589.0,238,14.446758758864831,E바나나맛우유멀티240(32)_중국,냉장,MY
논산,연료,Nm³,3,112826,0.01686374882904832,4178776.0,513,14.446758758864831,엑설런트 오리지널(8) I,냉동,IC
논산,연료,Nm³,4,122944,0.014555547651865784,8225799.0,588,14.446758758864831,바나나맛우유멀티240(32)I,냉장,MY
논산,연료,Nm³,5,123047,0.014244979257272205,150150.0,43,14.446758758864831,E고구마맛우유멀티240(32)_중국(지),냉장,MY
논산,연료,Nm³,6,122943,0.012073258597558617,8206876.0,591,14.446758758864831,바나나맛우유240(32)I,냉장,MY
논산,연료,Nm³,7,122948,0.011139945746466198,4656605.0,517,14.446758758864831,딸기맛우유멀티240(32)I,냉장,MY
논산,연료,Nm³,8,122949,0.007096384084898223,621959.0,507,14.446758758864831,딸기맛우유240(지)I,냉장,MY
논산,연료,Nm³,9,112782,0.006806999336566577,352458.0,35,14.446758758864831,E참붕어 초코 북미용(24),냉동,IC
논산,연료,Nm³,10,112753,0.005670498884427303,1002881.0,61,14.446758758864831,요맘때바 복숭아(40) G,냉동,IC
논산,용수,ton,1,122946,0.008969858679508284,955682.0,589,5.256389116303317,바나나맛우유240(지)I,냉장,MY
논산,용수,ton,2,121204,0.006878282364458568,3365589.0,238,5.256389116303317,E바나나맛우유멀티240(32)_중국,냉장,MY
논산,용수,ton,3,112904,0.006288379859975393,1374925.0,81,5.256389116303317,요맘때바 블루베리(40) G,냉동,IC
논산,용수,ton,4,122944,0.005146673270673735,8225799.0,588,5.256389116303317,바나나맛우유멀티240(32)I,냉장,MY
논산,용수,ton,5,112753,0.005145076646354139,1002881.0,61,5.256389116303317,요맘때바 복숭아(40) G,냉동,IC
논산,용수,ton,6,122949,0.00514209054194894,621959.0,507,5.256389116303317,딸기맛우유240(지)I,냉장,MY
논산,용수,ton,7,112516,0.005141661162791866,423555.0,33,5.256389116303317,E메로나 메론8입(64)_미국,냉동,IC
논산,용수,ton,8,123047,0.004962335566178249,150150.0,43,5.256389116303317,E고구마맛우유멀티240(32)_중국(지),냉장,MY
논산,용수,ton,9,112751,0.004933737879666343,775245.0,54,5.256389116303317,요맘때바 딸기(40) G,냉동,IC
논산,용수,ton,10,112761,0.0040183213850301745,793011.0,67,5.256389116303317,슈퍼콘 초코(24) C,냉동,IC
