factory,target,item_code,nonzero_days,total_kg,pearson,spearman,mix_adjusted,pearson_lag1,item_name,category1,category2
남양주,연료,122958,508,2357598.0,0.43966103292220243,0.4026486904654301,0.30218688524775694,0.24712535819284484,빙그레우유200(50)I,냉장,MY
남양주,연료,122956,586,11179459.0,0.5313669673324724,0.5164883728920338,0.2872611627483967,0.3141436966777749,굿모닝900(16)I,냉장,MY
남양주,연료,122946,664,4672568.0,0.6796261011609704,0.5680292475090111,0.2592593540142378,0.13305487440078648,바나나맛우유240(지)I,냉장,MY
남양주,연료,112748,452,9269849.0,0.4290858512316243,0.3662660211756854,-0.23376600060080618,-0.02661757667987588,비비빅(40) G,냉동,IC
남양주,연료,123009,393,5226753.0,0.43492499039179855,0.4640431972325022,0.22060127731692428,0.21552431217258428,요플레 플레인6입85(30)I,냉장,FM
남양주,연료,123003,410,3092074.0,0.4957649816400212,0.49431504850124885,0.17379881380960316,0.17402642571281143,요플레(홈) 딸기180(12)I,냉장,FM
남양주,연료,112747,481,11424942.0,0.4789079909798203,0.45013096634070476,-0.17200507335690335,-0.03179322030348934,메로나(40) G,냉동,IC
남양주,연료,122945,688,9570397.0,0.4675731453518711,0.3289636172272153,-0.1715932825317254,-0.15768053202169163,단지우유5입팩멀티240(30)I,냉장,MY
남양주,연료,122847,436,4538722.0,0.47421889669230094,0.4319161744490439,0.1634272899008005,0.00438886405185143,쥬시쿨 복숭아930(16)G,냉장,MY
남양주,연료,122943,765,35674941.0,0.6273393947133283,0.4362465526252107,-0.15568631087958648,-0.20540667513665278,바나나맛우유240(32)I,냉장,MY
남양주,연료,123008,314,1358327.0,0.3666273066400591,0.3921993095660401,0.15084193134390161,0.12627336747471218,요플레 플레인멀티85(32)I,냉장,FM
남양주,연료,123012,360,1869039.0,0.45536211051301084,0.44329487212665986,0.1497897924163668,0.17549328066209233,요플레 플레인 화이트430(6)I,냉장,FM
남양주,연료,122846,360,1236205.0,0.3983036381710786,0.32273430145386245,0.14900489537677356,-0.06035328212289162,쥬시쿨 복숭아450(28)G,냉장,MY
남양주,연료,112715,431,8639480.0,0.35132145001013954,0.2845347552557862,-0.1345823589275227,-0.10720275210310723,떡붕어싸만코(30)B,냉동,IC
남양주,연료,122844,394,4488189.0,0.4793973512814371,0.5006807377072253,0.11941890406111656,0.2200952150143541,쥬시쿨 자두930(16)G,냉장,MY
남양주,연료,122848,311,1504588.0,0.3507824633744322,0.31300787615326947,-0.11937999160145403,-0.12156279886998979,쥬시쿨 파인450(28)G,냉장,MY
남양주,연료,122965,188,752830.0,0.23942843518363788,0.18104860049842464,-0.11411122677227643,-0.1921856579978283,딸기타임500(28)I,냉장,MY
남양주,연료,122842,450,4330879.0,0.39655426487262985,0.32664683030945607,-0.11296001648030093,-0.041837087073042095,쥬시쿨 자두180(50)G,냉장,MY
남양주,연료,122849,359,5115295.0,0.39968951381176604,0.3707187868371493,-0.10903095769367142,-0.12548239304312533,쥬시쿨 파인930(16)G,냉장,MY
남양주,연료,122957,237,1740712.0,0.11403080403588636,0.10020449776407939,-0.1079634484091422,-0.16083976899681846,굿모닝 저지방900(16)I,냉장,MY
남양주,연료,122981,351,2345972.0,0.3838853479963646,0.4127408729002394,0.10652603887687939,0.08883316081522913,요플레 딸기멀티85(32)I,냉장,FM
남양주,연료,123013,367,2436673.0,0.40840333919495664,0.4057636494321429,0.10563869341975388,0.10714050126836501,요플레 플레인 화이트900(6)I,냉장,FM
남양주,연료,122843,372,1770297.0,0.4630735858992727,0.4763696713548899,0.09551255063076008,0.194653941152647,쥬시쿨 자두450(28)G,냉장,MY
남양주,연료,122960,192,678767.0,0.05768439616815428,0.03666086748375895,0.09185534686059312,0.03727796015984372,빙그레우유1000(16)_급식I,냉장,MY
남양주,연료,112764,190,1905538.0,0.18841013193888473,0.1551805054622152,-0.09005876845886207,-0.09910308573251539,요맘때콘 플레인(24) C,냉동,IC
남양주,연료,112765,126,1285195.0,0.13895805314631152,0.10906433503527498,-0.08923983145279778,-0.0889090482894142,요맘때콘 슈팅스타(24) C,냉동,IC
남양주,연료,122963,435,3179134.0,0.3962917368755659,0.3433533189568091,-0.0885113401242527,-0.1283314646499963,딸기타임200(50)I,냉장,MY
남양주,연료,122324,239,351984.0,0.30841978487030314,0.27905823982302547,0.08660668568707,0.11972026666822173,빙그레생크림_소프트랩(16),냉장,MY
남양주,연료,112832,220,1119521.0,0.16472722088236647,0.10675269850902784,-0.08656903659862367,-0.20433386982422744,투게더 미니어처(8) I,냉동,IC
남양주,연료,122967,358,1153243.0,0.373922894313355,0.30457142394916087,-0.08500390232302507,-0.16639199782976147,가공딸기200(50)I_세븐PB,냉장,MY
남양주,연료,123004,244,765117.0,0.3165926569590443,0.30127585653208777,0.0823758043607677,0.04659840185493439,요플레(홈) 블루베리180(12)I,냉장,FM
남양주,연료,122951,439,1907523.0,0.3075357838508667,0.28645552457206547,0.08163234027936643,0.03816505312796135,바나나라이트멀티240(32)I,냉장,MY
남양주,연료,112766,257,6291109.0,0.3345428267696474,0.3763718825598027,-0.08035698296615343,0.10225053334514708,더위사냥(30) G,냉동,IC
남양주,연료,112827,136,1922651.0,0.22452842788293537,0.2287073286411946,0.0768419459486472,0.12886049025774415,그라시아 쿠앤크(6) I,냉동,IC
남양주,연료,123043,115,1076058.0,0.1244016929974344,0.11653829299190453,-0.07463703196026716,0.038856094590545814,투게더맛우유240(32),냉장,MY
남양주,연료,123100,58,347433.0,0.13783689655678896,0.12946360040543808,0.06846141233270803,0.024006433511794902,요플레 그릭 마일드 무가당180(12),냉장,FM
남양주,연료,122933,95,318094.0,0.16592119624293275,0.12002432093353436,-0.06819305597823369,-0.10115232977001665,요플레 플레인 화이트 락토프리430(6),냉장,FM
남양주,연료,123066,68,320913.0,0.12224860660044898,0.13208363296151868,0.06773680931386468,0.014077135264081827,요플레 그릭 딸기 멀티80(32),냉장,FM
남양주,연료,123073,241,3308974.0,0.20617448197946403,0.19217538452033409,0.06577535152136335,0.06372172084928125,바나나무가당240(32),냉장,MY
남양주,연료,112790,37,376448.0,0.10060394635654328,0.13172295483441082,0.06479131388717188,0.049198539619165566,그라시아 쿠앤크 초코(6) I,냉동,IC
남양주,연료,122845,388,3533086.0,0.39015737510501264,0.3089586449372021,0.06444006039454792,-0.1239654866245694,쥬시쿨 복숭아180(50)G,냉장,MY
남양주,연료,112876,58,1026868.0,0.10540921059842087,0.10867164864016292,-0.06335061816214317,0.02581714047889257,더위사냥 제로(30),냉동,IC
남양주,연료,112716,79,1285189.0,0.15574418038549728,0.16539950457908364,0.06208081846788633,0.07170019220825295,초코붕어싸만코 크런치(30)B,냉동,IC
남양주,연료,123039,47,289640.0,0.06701274171819231,0.044568014982196605,-0.06124038638006062,-0.06584190230201065,춘식이망고500(28)I,냉장,MY
남양주,연료,122932,253,1642275.0,0.2816813402592849,0.2255303213899245,0.06000217852025987,0.014172167425429478,요플레 그릭 마일드 무가당400(6),냉장,FM
남양주,연료,112834,64,256310.0,0.15970490118593925,0.1715298645727149,0.05927529415025037,0.06860747180330654,끌 쿠키앤초코바(24) I,냉동,IC
남양주,연료,112797,68,916264.0,0.1872057120595438,0.19513065346984204,0.05905825051834598,0.11705681840793256,따옴바 딸기(40) H,냉동,IC
남양주,연료,123067,69,276741.0,0.10541312985565246,0.12444809960966731,0.058905101959387605,0.025533887925512685,요플레 그릭 복숭아 멀티80(32),냉장,FM
남양주,연료,123074,227,2035105.0,0.2240542580302206,0.1890605069188384,0.056396425574008764,0.04040532800862704,바나나무가당멀티240(32),냉장,MY
남양주,연료,123092,66,485856.0,0.09405914506572742,0.05956437397341898,-0.05384516811362251,-0.04059882837900931,춘식이멜론500(28)I,냉장,MY
남양주,연료,112752,103,1519875.0,0.15934339982448215,0.10823825738365823,-0.0531251528953979,-0.01906532385425879,요맘때바 플레인(40) G,냉동,IC
남양주,연료,123044,110,643383.0,0.13987777634556725,0.12664544682962428,-0.05123466096093026,0.027340867331182156,투게더맛우유멀티240(32),냉장,MY
남양주,연료,123080,34,253125.0,0.04121094295927962,0.019649543580990466,0.051062078927883864,-0.04988724650562406,춘식이밤500(28)I,냉장,MY
남양주,연료,112841,32,121916.0,0.08343561230791775,0.07869887313996086,0.048989585186623476,0.04593627504616807,끌 클린 딸기 컵 80mL(48),냉동,IC
남양주,연료,111100,33,277740.0,0.09764433813621654,0.09392083540324576,0.04853634909681055,0.06611393318758932,E엔초(40)_베트남,냉동,IC
남양주,연료,112767,265,3650422.0,0.28112810545412775,0.20406702311153152,-0.047937051705622215,-0.06352913269635797,엔초(40) G,냉동,IC
남양주,연료,123085,159,1123527.0,0.14636516718557893,0.157970377432925,0.04766967191252301,-0.056478211767847966,요플레 그릭 마일드 무가당900(6),냉장,FM
남양주,연료,122961,304,414067.0,0.34231637405617277,0.28956526717229186,-0.04309060823621433,-0.14088238175320703,가공딸기200(50)I_아워홈,냉장,MY
