plant,target,wip_count,wip_items,baseline_val_mape,baseline_test_mape,wip_val_mape,wip_test_mape,val_delta,test_delta
김해,전력,3,"220032,220067,220068",5.909864210802403,7.41412549588762,5.81820052246583,6.738352022376725,-0.09166368833657312,-0.6757734735108949
김해,연료,4,"220006,260015,220051,223579",7.009930357351227,12.385102736376478,6.368334523030953,9.429654344933585,-0.6415958343202739,-2.955448391442893
김해,용수,4,"220006,260015,220051,223579",7.897970598981598,8.320718483375366,7.690502256089485,8.349927121813726,-0.20746834289211247,0.029208638438360524
