target,n_test_days,n_active_days,alpha_unit_load,alpha_per_10k_units,baseline_mape_all,baseline_mape_before,baseline_mape_after,corrected_mape_all,corrected_mape_after,delta_all,delta_after
전력,81,23,202.99783515217908,2029978.3515217907,7.41412549588762,7.355065647722032,7.5630590260443205,6.925251631084202,5.84137280651924,-0.4888738648034181,-1.7216862195250808
연료,81,23,38.514447630938996,385144.47630939,12.385102736376478,11.155595886717704,15.485598270298603,10.78614826945674,9.85449775636388,-1.5989544669197375,-5.631100513934722
용수,81,23,2.6205035281997744,26205.035281997745,8.320718483375366,8.130687754983207,8.799926407146899,8.32095265782496,8.800751108469381,0.00023417444959505929,0.0008247013224824684
