plant,target,status,n_wip_features,wip_item_codes,n_train,n_val,n_test,baseline_val_mape,baseline_test_mape,plus_wip_val_mape,plus_wip_test_mape,val_delta_mape,test_delta_mape,adopt
남양주1,전력,ok,3,"210376,210405,213137",498,249,59,5.043817617575778,6.736094346235348,4.7165252472169215,6.217204661581722,-0.3272923703588564,-0.5188896846536268,True
남양주1,연료,ok,1,213137,498,249,59,4.0280231540033595,4.637639993654448,4.07146165086169,5.099221003009943,0.043438496858330566,0.46158100935549573,False
남양주1,용수,ok,1,210405,498,249,59,7.0439614088619225,7.819370481480072,6.9200106982233125,7.682021975934526,-0.12395071063860996,-0.13734850554554612,False
남양주2,전력,ok,3,"210376,210405,210198",497,249,59,7.105040055254644,6.398922824496587,7.056369444960375,6.283167654843713,-0.04867061029426889,-0.11575516965287402,False
남양주2,연료,ok,1,210417,497,249,59,9.409109320798349,8.61297956760109,9.701697356788854,8.346369285890837,0.2925880359905051,-0.26661028171025336,False
남양주2,용수,ok,2,"210376,210405",497,249,59,15.801889713294926,14.521223995361506,15.709146327815843,13.09281934511341,-0.09274338547908378,-1.4284046502480958,False
김해,전력,ok,3,"220032,220067,220068",498,249,59,6.609873759137728,6.870492568720079,6.7846704711329835,5.898577686616967,0.17479671199525537,-0.9719148821031114,False
김해,연료,ok,4,"223518,220032,220067,220068",498,249,59,7.639161032854064,11.184640989492916,7.491694552082687,9.680083380811919,-0.14746648077137703,-1.5045576086809973,False
김해,용수,ok,5,"223518,220022,220032,220067,220068",498,249,59,8.14130503838268,7.6426141562983885,8.57304836967215,7.80598559030698,0.4317433312894714,0.16337143400859144,False
광주,전력,ok,2,"220067,220068",497,246,59,8.056094129830454,7.54522434346643,7.20987520294665,7.14082951207655,-0.8462189268838038,-0.4043948313898795,True
광주,연료,ok,4,"260014,260042,220067,220068",497,246,59,17.322243481147456,13.885363119196978,10.321193215260552,7.841450887334137,-7.001050265886905,-6.043912231862841,True
광주,용수,ok,4,"260014,260042,220067,220068",497,246,59,14.460944127223977,10.622953256192474,11.533306823726607,9.151442769785891,-2.92763730349737,-1.4715104864065829,True
논산,전력,ok,2,"210376,210577",495,240,59,5.917588588938346,4.724912893724137,5.965388474201276,4.83676588113036,0.04779988526293,0.11185298740622329,False
논산,연료,ok,2,"210577,210405",495,240,59,6.091298290847864,7.243701790455058,6.196490441656547,7.630585239565257,0.1051921508086826,0.3868834491101998,False
논산,용수,ok,1,210376,495,240,59,10.795766897092134,10.246126456418745,10.947128591378931,10.123548718884946,0.15136169428679658,-0.12257773753379908,False
